id,screen_name,nombre,partido,nombre_partido,orientacion,total_tweets,tweets,fecha_creado,fecha_min,descripcion,num_seguidores
1186714680527593474,@GeneralDelAire1,General del Aire - El Bloqueado - #GeneralDeTodos,nul,no conocido,nul,19676,3227,2019-10-22,2019-10-11,"Ayudaré a todos.

Si quieren ignorar la ley, llámenme. Esta cuenta es más parodia que la huelga de hambre de Mark Vito. Cuenta de apoyo: @GeneralDeTodos",9033
1017875140313518081,@EnriqueFCHA,Enrique Fernández Chacón,fa,frente amplio,izq,5233,3148,2018-07-13,2018-07-09,"Político de toda la vida 🇵🇪
#CuarentenaSinHambre ✊",20145
102238423,@patriaroja,Patria Roja,pr,patraia roja,izq,14998,4295,2010-01-06,2009-09-07,"Partido Comunista del Perú fundado por José Carlos Mariátegui en 1928. Presidente Alberto Moreno Rojas, Secretario General Manuel Guerra Velasquez.",4116
1058118893133316096,@SegundoMendezA,Segundo Mendez,nul,no conocido,izq,15014,8504,2018-11-01,2018-08-31,Reformista y en contra de la cleptocracia. Nuestro país empezará a crecer cuando se logren generaciones mejor educadas y formadas plenamente en valores.,2364
1436400703,@ManuelDammert,Manuel Dammert,np,nuevo peru,izq,6629,4607,2013-05-17,2012-05-04,Porque mi patria es hermosa la defiendo con mi vida. Congresista de la República. Nuevo Perú.,26520
15043710,@IndiraHuilca,Indira Huilca,np,nuevo peru,izq,10634,6466,2008-06-08,2008-03-07,Feminista y socialista. Socióloga por la UNMSM. Ex Congresista de la República por Lima Metropolitana. .,126073
173544494,@MarisaGlave,Marisa Glave,fa,frente amplio,izq,15220,9732,2010-08-01,2010-05-12,Socióloga e investigadora. Activista feminista y ambientalista.,323956
237779638,@GGG_pe,Gustavo Guerra García,np,nuevo peru,izq,2555,2539,2011-01-13,2011-01-13,Economista (PUCP) y máster en políticas públicas por Georgetown (EE.UU). Fui Viceministro del MTC y lideré la reforma del transporte en Lima.,16108
248429004,@LuciaAlvites,LuciaAlvites,np,nuevo peru,izq,4584,4095,2011-02-07,2010-12-06,"Mamá de Antu, feminista, socióloga sanmarquina, militante de Nuevo Perú. Perfil en IG luciaalvitess",6933
270073948,@VicAZeballos,Vicente Antonio Zeballos Salinas,upp,union por el peru,izq,3937,3829,2011-03-21,2011-03-08,"Presidente del Consejo de Ministros del Perú, abogado, moqueguano y excongresista de la República.",70891
277242927,@jtownsenddc,JosefinaTownsend,per,periodista,izq,60,59,2011-04-05,2013-04-24,Periodista,30877
318065421,@MirtyVas,Mirtha Vásquez,fa,frente amplio,izq,773,772,2011-06-15,2011-12-16,"Congresista del Frente Amplio por Cajamarca y Presidenta de la Comisión de Inclusión Social. Abogada, activista ambientalista y defensora de derechos humanos.",2493
358445205,@Vero_Mendoza_F,Verónika Mendoza,fa,frente amplio,izq,8176,5816,2011-08-19,2011-07-02,"Cusqueña, mamá, antropóloga.  Presidenta del @NuevoPeruMov (2018-2019).",439913
361042982,@vozdelatierra,Marco Arana 🇵🇪,fa,frente amplio,izq,72081,32046,2011-08-24,2011-08-10,"“Dicen que es anticonstitucional regular precios de medicinas, que es inconstitucional ir contra acaparadores y especuladores: Cambiemos la Constitución!”",65812
38803365,@_zavandija,Gabriela Zavaleta 🏳️‍🌈 QUÉDENSE EN CASA 🏠,nul,no conocido,izq,122876,52251,2009-05-09,2008-12-12,"Feminista interseccional de izquierda. Arquitectura, construcción, urbanismo. Actv. @matrimonioPE + Presidenta @MasIgualdadPe 🏳️‍🌈🇵🇪 Opiniones personales.",8890
406443854,@AntauroHumala,Antauro Humala,upp,union por el peru,izq,331,331,2011-11-06,2011-12-09,"Lider del #movimiento #etnocacerista,#MEC #Militares #EtnoCacerismo. Cuentas anonimas o sin actividad -Fantasmas- las bloqueamos sin aviso",1336
4191723502,@arlettecontrers,Arlette Contreras,nul,no conocido,izq,3291,3225,2015-11-15,2015-09-29,Congresista de la República del Perú 2020-2021🇵🇪 Abogada/Conciliadora Extrj./Activista #DDHH🌎 #AgendaMujer💪🏼 #NiUnaMenos #MeToo #IWOC🏆 #Time100 #100Women,14376
455413031,@anajarav,Ana Jara Velásquez 🇵🇪,pnp,partido ollanta,izq,29980,12492,2012-01-05,2011-09-02,"Notaria. Abogada. Ex Pdta., del Consejo de Ministros. Ex Ministra de la Mujer. Ex Ministra de Trabajo. Congresista de la República (2011-2016). Cristiana.",124677
469545118,@DianaMiloslavic,DianaMiloslavicTupac,nul,no conocido,izq,3565,3476,2012-01-20,2011-11-10,Feminista activista Coordina Programa Participación Política @CMPFloraTristan Vocera @paridadperu.Red de Mujer y Habitat AL Estudió Literatura e Historia UNMSM.,1625
54797928,@sigridbazan,Sigrid Bazán,nul,no conocido,izq,33362,16649,2009-07-08,2008-11-25,Licenciada en Ciencia Política. Presidenta FEPUC (2012).Columnista los domingos en @larepublica_pe. Conductora en @Latina_pe. Las opiniones son mías.,258136
63195697,@RichardArcePeru,Richard Arce,np,nuevo peru,izq,10169,5535,2009-08-05,2009-07-29,Ex congresista de la República por el departamento de Apurímac.,22803
72361116,@suselparedes,Susel Paredes,nul,no conocido,izq,197166,22675,2009-09-07,2009-04-16,"Abogada, fiscalizadora, gladiadora.",88426
754263468,@EdgarOchoaPezo,Edgar Ochoa,np,nuevo peru,izq,2959,2957,2012-08-13,2013-03-25,"Cusqueño, papá, profesor, ex Congresista del @NuevoPeruMov",5561
760482557075087360,@HumbertoTYL,Humberto Morales,fa,frente amplio,izq,4532,3941,2016-08-02,2016-06-08,Ex congresista de la República del Perú (Frente Amplio - Tierra y Libertad). Ingeniero Agrónomo. Docente. Militante del FA.,7388
763015431347113984,@HCevallosFlores,Hernando Cevallos,fa,frente amplio,izq,1701,1684,2016-08-09,2016-02-01,Médico. Militante del Frente Amplio. Ex Congresista de la República por Piura,8201
764641303686680577,@rogelio_tucto,Rogelio Tucto 🇵🇪,fa,frente amplio,izq,1581,1578,2016-08-14,2016-08-19,Ex Congresista de la República,3984
